object_id,numero_de_chamada,autor_principal,entradas_secundariasautor,entradas_secundariasautor_2,titulo_principal,publicacao,descricao_fisica,notas,assuntos,entradas_secundariasautor_3,catalogacao_pre_marc,serie,isbn,outros_titulos,entradas_secundariasautor_4,entradas_secundariasautor_5,entradas_secundariasautor_6,entradas_secundariasautor_7,entradas_secundariasautor_8,entradas_secundariasautor_9,notas_de_resumo,entradas_secundariastitulo,edicao,issn,entradas_secundariasautor_10,entradas_secundariasautor_11,entradas_secundariasautor_12,entradas_secundariasautor_13,entradas_secundariasautor_14,entradas_secundariasautor_15,entradas_secundariasautor_16,entradas_secundariasautor_17,entradas_secundariasautor_18,entradas_secundariasautor_19,entradas_secundariasautor_20,entradas_secundariasautor_21,entradas_secundariasautor_22,entradas_secundariasautor_23,entradas_secundariasautor_24
217,,,,,O convento franciscano de Cairu : restauração de elementos artísticos,"Brasília : IPHAN, 2009.",309 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,,,,,"Eliane Band, Fernando Carvalho, Luciane de Siqueira","Rio de Janeiro : PUC-Rio, 1991.",5 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,,,,,VI salão UNAMA de pequenos formatos,"Belém : Universida da Amazônia, 2000.",ca. 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,,"Melli, Claudia",,,Entre o perto e o distante,"Rio de Janeiro : H.A.P. Galeria, [2012?].",12 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,"INDIVIDUAL LOMBARDI, Inés L842i  1996 Coleção Bibliográfica","Lombardi, Inés","Huey, Michael tradução 
Costa, Isaías tradução
Huck, Brigitte curadoria",,"Inés Lombardi / [curadoria] Brigitte Huck ; [tradução] Michael Huey, Isaías Costa","[S. l.] : Bundesministerium fur Wissenschaft, 1996.",30 p. : il. color. ; 21 cm,"Catálogo publicado em decorrência da exposição realizada na 23. Bienal Internacional de São Paulo, no período de 5 de outubro a 8 de dezembro de 1996. Conteúdo incompleto : Contém biografia da artista.
Texto em alemão, inglês e português.","Bienal Internacional de São Paulo São Paulo 1996
Fotografia Brasil -- Século 20
Arte conceitual Brasil -- Século 20
Arte contemporânea (período) Brasil -- Século 20",,,,ISBN : 385224045x,,,,,,,,,,,,,,,,,,,,,,,,,,
497,COLETIVO Centro Cultural Banco do Nordeste Fortaleza C397c  2009 Coleção Bibliográfica,Centro Cultural Banco do Nordeste Fortaleza,Centro Cultural Banco do Nordeste Fortaleza,Fortaleza,Cotidiano contemporâneo / Centro Cultural Banco do Nordeste ; [texto e curadoria] Marcelo Campos ... [et al.],"Fortaleza : Centro Cultural Banco do Nordeste, 2009.",155 p. : il. color. ; 22 cm,"Catálogo publicado em decorrência da exposição Cotidiano contemporâneo realizada no Centro Cultural Banco do Nordeste, na cidade de Fortaleza, em 2009.","Baltar, Brígida artista
Cotidiano contemporâneo Fortaleza 2009
Fotografia Brasil -- Século 21
Murgel, Daniel artista
Cotidiano contemporâneo Fortaleza 2009
Instalação (trabalho visual) Brasil -- Século 21
Silva, Breno artista
Desenho (obra visual) Brasil -- Século 21
Ganz, Louise artista
Colagem (obra visual) Brasil -- Século 21
Jacomino, Bruno artista
Arte contemporânea (período) Brasil -- Século 21
Esmeraldo, Sérvulo artista
Faria, Bruno artista
Melo, Amanda artista
Andrade, Jonathas de artista
Braga, Rodrigo artista
artista
Trindade, Cláudio artista
Barbosa, Felipe artista
Montijo, Giulinno artista
Angelini, João artista
Neves, Maíra das artista
Maia, Murilo artista
Ricalde, Rosana artista
Correa, Sylvana artista
Camargo, Tony artista
Leite, Júlio César artista
Vilela, Bruno artista
Sobral, Divino artista
Santos, Diego dos artista
Ortins, Maíra artista
Ribeiro, Fernando artista
Saraiva, Telma artista
Ribeiro, Solon artista
Botas, Marina de artista
Silveira, Marcelo artista",2009,,,,,"Campos, Marcelo texto  curadoria
Centro Cultural Banco do Nordeste Fortaleza Fortaleza 2009
Florido, Marisa texto curadoria
Lemos, Beatriz texto curadoria
Guimarães, Dodora texto curadoria
Makarzel, Marisa texto curadoria
Cassundé, Bitu texto curadoria
Canton, Katia texto curadoria
Siebra, Eunice texto curadoria
Soares, Ana Cecília texto curadoria
Pimenta, Júnior texto curadoria
Ortins, Maíra texto curadoria
Resende, Ricardo texto curadoria
Leirner, Nelson texto curadoria
Lacerda, Franklin texto curadoria
Firmeza, Yuri texto curadoria
Panitz, Marília texto curadoria
Bruce, Fabiana texto curadoria
Labra, Daniela texto curadoria",,,,,,,,,,,,,,,,,,,,,,,,
698,"INDIVIDUAL  TRIGO, Julian T828j  1994  Coleção Bibliográfica","Trigo, Julian",Thomas Cohn Arte Contemporânea,Rio de Janeiro,Julian Trigo /,"Rio de Janeiro : Thomas Cohn Arte Contemporânea, 1994.",16 p. : il. color. ; 21 cm,"Texto em português e inglês
Catálogo publicado em decorrência da exposição realizada em Thomas Cohn Arte Contemporânea, na cidade do rio de Janeiro no mês de junho de 1994.","Julian Trigo Rio de Janeiro 1994
Pintura (obra visual) Argentina -- Século 20
Desenho (obra visual) Argentina -- Século 20
Carvão (instrumento de desenho) Argentina -- Século 20
Arte contemporânea (período) Argentina -- Século 20","Schwabsky, Barry texto 
Thomas Cohn Arte Contemporânea Rio de Janeiro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,"INDIVIDUAL BLAKEMORE, John B637f  1991 Coleção Bibliográfica","Blakemore, John","Williams, Val texto 
Paoletti, Maura tradução",,A fotografia de John Blakemore / [texto] Val Williams ; [tradução] Maura Paoletti,"São Paulo : The British Council, 1991.",23 p. : il. p&b ; 22 cm,"Catálogo publicado em decorrência da exposição realizada no British Council, na cidade de São Paulo, em 1991.","A fotografia de John Blakemore São Paulo 1991
Fotografia Inglaterra -- Século 20
Arte contemporânea (período) Inglaterra -- Século 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,,"Martins, Sylvia",,,Oxygenio : pinturas,"Rio de Janeiro : Anita Schwartz, 2002.",23 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,,,,,Le temps menaçant,"Paris : Musées de la Ville de Paris, 1997.",22 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,Arte : um olhar muito especial,"Rio de Janeiro : Oi Futuro, 2008?.",192 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,COLETIVO Caixa Cultural C133  2007 Coleção Bibliográfica,Caixa Cultural Rio de Janeiro 2007,"Nemer, José Alberto curadoria 
Loureiro, Paes texto",,O Brasil na visualidade popular / [concepção e curadoria] José Alberto Nemer ; [texto] Paes Loureiro,"Rio de Janeiro : Caixa Cultural, 2007.",134 p. : il. color. ; 23cm,"Catálogo publicado em decorrência da exposição realizada na Caixa Cultural, na cidade do Rio de Janeiro no período de 05de novembro a 30 de dezembro de 2007.","Pardal artista
O Brasil na visualidade popular Rio de Janeiro 2007
Arte popular (arte tradicional) Brasil -- século 20 - 21
Claros, Willi Montes artista
Difusão cultural Brasil -- século 20 - 21
Edel, Alfredo artista
Arte contemporânea (período) Brasil -- século 20 - 21
Braga, Luiz artista
Santos, Rui Cezar dos artista
Nassar, Emmanuel artista
Rosa, José Valentim artista
Paulo, André artista
Silva, Antônio Camargo da artista
Garcia, Marcos artista",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,7.072.2 M515i  2006 Coleção Bibliográfica,"Meira, Silvia Miranda","Silva, Fernando Pedro da Edição",,A imagem moderna : um olhar / Silvia Miranda Meira,"Belo Horizonte : C/ Arte, 2006.",143 p. : il. p&b ; 23 cm,,"História da arte
Arte (belas artes)
Arte moderna (período)
Arte contemporânea (período)",,,(História e Arte),ISBN : 8576540444,,,,,,,,,,,,,,,,,,,,,,,,,,
319,,,,,Autonomia carioca : artes visuais: ensino fundamental,Rio de Janeiro 2011?.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,77(81) P962p  2011 Coleção Bibliográfica,,"Holanda, Bernardo Buarque texto 
Thomas, Daniela texto
Moura, Diógenes texto
Gambini, Roberto texto
Sampaio, Manuela Souza de tradução",,Projeto Brasil 01 : pensamento,"Rio de Janeiro : Arte Ensaio, 2011.",238 p. : il. color. ; 30 cm,,"Oi Futuro Rio de Janeiro
Fotografia Brasil -- Século 20 - 21
Cultura Brasil",,,,ISBN : 9788560504299,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,Além da beleza : plumária indígena brasileira : exposição fotográfica,"São Paulo : Museu de Arqueologia e Etnologia, 20--?.",10 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,728.6(81) C957f  2010 Coleção Bibliográfica,"Cruz, Cícero Ferraz",,,Fazendas do sul de Minas Gerais : arquitetuta rural nos séculos XVII e XIX / Cícero Ferraz Cruz,"Brasília : IPHAN/Programa Monumenta, 2010.",354 p. : il. color. ; 30 cm,,"Arquitetura (gênero de objeto) -- Brasil -- Século 21
Minas Gerais
Fazenda -- Brasil -- Século 21",,,,ISBN : 9788573341409,,,,,,,,,,,,,,,,,,,,,,,,,,
463,,"Hernández, Sergio",,,Cerámica,"México : Galeria de Arte Contemporaneo, 1990.",6 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,COLETIVO Museu de Arte Contemporânea de Niterói M986m  2010 Coleção Bibliográfica,Instituto de Artes da UERJ,Rio de Janeiro,Museu de Arte Contemporânea de Niterói,"Tempo - matéria / André Parente, Leila Danziger, Livia Flores, Malu Fatorelli, Ricardo Basbaum / organização e curadoria: Luiz Cláudio da Costa","Rio de Janeiro : Contracapa, 2010.",63 p. : il. color. ; 21 cm,"Catálogo publicado em decorrência da exposição Tempo - matéria realizada no Museu de Arte Contemporânea , na cidade de Niterói no período de  21 de março a 9 de maio de 2010.
Texto em inglês e português.","Parente, André artista
Arte plástica Brasil -- Século 21
Danziger, Leila artista
Tempo- Matéria Niterói 2010
Arte visual Brasil -- Século 21
Flores, Livia artista
Arte contemporânea (período) Brasil -- Século 21
Fatorelli, Malu artista
Basbaum, Ricardo artista",Niterói,,,ISBN : 9788577400768,,Núcleo N-Imagem (UFRJ),Rio de Janeiro,Fundação Carlos Chagas de Amparo à no Estado do Rio de Janeiro (FAPERJ),Rio de Janeiro,"Museu de Arte Contemporânea de NiteróiInstituto de Artes da UERJ Rio de Janeiro
Museu de Arte Contemporânea de Niterói Niterói
Núcleo N-Imagem (UFRJ) Rio de Janeiro
Fundação Carlos Chagas de Amparo à no Estado do Rio de Janeiro (FAPERJ) Rio de Janeiro",,,,,,,,,,,,,,,,,,,,
386,,,,,Ar,"Rio de Janeiro : IPHAN, 199-?.",ca. 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,Arte futura e companhia catálogo das exposições de 2001,"Brasília : Arte Futura e Companhia, 2001.",48 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Centro Cultural Banco do Brasil,,Rio de Janeiro,1994,Fórum brasileiro da fotografia,"Rio de Janeiro : Centro Cultural Banco do Brasil, [1994?].",8 lâms. : il. color. ; 21 cm,"Catálogo publicado em decorrência da exposição realizada no Centro Cultural Banco do Brasil; Museu Nacional de Belas Artes; Casa França Brasil; Museu de Arte Moderna, na cidade do Rio de Janeiro no período de 27 de abril a 26 de maio de 1994.","Salgado, Sebastião artista
Fórum brasileiro da fotografia Rio de Janeiro 1994
Fotografia Brasil -- século 20 - 21
Freund, Gisèle artista
Difusão cultural Brasil -- século 20 - 21
Lima, Elza artista
Arte contemporânea (período) Brasil -- século 20 - 21
Viggiani, Ed artista
Benedicto, Nair artista
Prado, Marcos artista
Reis, Rogerio artista
Santana, Tiago artista",COLETIVO 77.03(81) C397f  1994 Coleção Bibliográfica Centro Cultural Banco do Brasil Rio de Janeiro 1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,75(81) P372d  2011 Coleção Bibliográfica,"Pedroso, Domicio","Bini, Fernando texto 
Pedroso, Lenora organização
Viaro, Guido comentário
Ferreira, Fernando Pessoa comentário
Araújo, Adalice comentário
Fontoura, Ivens comentário
Luz, Nelson comentário
Millarch, Aramis comentário
Simões, João Manuel comentário",,Domicio Pedroso : variações em torno do mesmo tema / [organização Lenora Pedroso ; texto Fernando A. F. Bini],"Curitiba : Ed. do Autor, 2011.",197 p. : il. color. ; 30 cm,Texto em português e inglês.,"Pintura (obra visual) Brasil -- Século 20-21
Arte moderna (período) Brasil -- Século 20-21
Arte contemporânea (período) Brasil -- Século 20-21",,,,ISBN : 9788591200603,,,,,,,,,,,,,,,,,,,,,,,,,,
405,LA 7.038.55(81) T926a  2001 Coleção Bibliográfica,Tunga,Centro Cultural Banco do Brasil,Brasilia,"Assalto / Tunga ; [texto] Gerardo M. Mourão ; [tradução] Paulo Henriques Britto, Simon Lane ; [entrevistador] Luiz Camillo Osório","Brasília : Centro Cultural Banco do Brasil, 2001.","142 p., 3 f. dobradas : il. color. ; 17 cm","Catálogo publicado em decorrência da exposição realizada no Centro Cultural Banco do Brasil, na cidade de Brasília no período de 27 de abril a 03 de junho de 2001. Conteúdo incompleto : Contém entrevista do artista.
Texto em português e inglês.","Assalto Brasilia 2001
Instalação (trabalho visual) Brasil -- Século 21
Arte performática Brasil -- Século 21
Arte contemporânea (período) Brasil -- Século 21
Livro de artista Brasil -- Século 21",2001,,,,,"Osorio, Luiz Camillo entrevistador 
Centro Cultural Banco do Brasil Brasilia 2001
Mourão, Gerardo M. texto
Britto, Paulo Henriques tradução
Lane, Simon tradução",,,,,,,,,,,,,,,,,,,,,,,,
79,7(81) E74c  2012 Coleção Bibliográfica,Escola de Artes Visuais do Parque Lage,"Fatorelli, Joanna organização
Queiroz, Tania organização",,Cadernos EAV 2009 : encontros com artistas / Escola de Artes Visuais do Parque Lage,"Rio de Janeiro : Escola de Artes Visuais do Parque Lage, 2012.",215 p. : il. p&b ; 18 cm,,"Geiger, Anna Bella artista
Arte visual Brasil
Zilio, Carlos artista
Instalação (trabalho visual)
Neto, Ernesto artista
Videoarte
Machado, Ivens artista
Arte contemporânea (período)
Felix, Nelson artista
Tunga artista",,,,ISBN : 9788564192065,,,,,,,,,,,,,,,,,,,,,,,,,,
891,"INDIVIDUAL CEMIN, Saint Clair C394s  1997 Coleção Bibliográfica","Cemin, Saint Clair",,,Saint Clair Cemin,"São Paulo : Galeria Camargo Vilaça, 1997.",[15] p. : il. color. ; 23 cm,"Catálogo publicado em decorrência da exposição realizada na Galeria Camargo Vilaça, na cidade de São Paulo, em 5 de março de 1997","Escultura (trabalho visual) Brasil -- Século 20
Arte contemporânea (período) Brasil -- Século 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,,"Franco, Siron",,,Pinturas,"Rio de Janeiro : Galeria Bonino, 1982.",16 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,94(397) P928  2012 Coleção Bibliográfica,,Caixa Cultural,Rio de Janeiro,"Presença africana no Brasil : história e cultura / Ynaê Lopes dos Santos, Giovana Xavier da Conceição Côrtes ; Rodrigo Silva (coor. geral) ; Carlos Eduardo França de Oliveira (Coord. do curso)","Rio de Janeiro : Conceito Humanidades, 2012.",23 p. ; 28 cm,Livro publicado em decorrência da exposição realizada pela Caixa Cultural.,"Etno-história
Cultura",Conceito Humanidades,,,,,Rio de Janeiro,"Santos, Ynaê Lopes dos texto 
Caixa Cultural Rio de Janeiro
Côrtes, Giovana Xavier da Conceição texto
Conceito Humanidades Rio de Janeiro
Silva, Rodrigo coordenador geral
Oliveira, Carlos Eduardo França de coordenador de curso",,,,,,,,,,,,,,,,,,,,,,,
402,COLETIVO Galeria Passado Composto Século XX G154a  2012 Coleção Bibliográfica,Galeria Passado Composto Século XX São Paulo,"Muñoz, Alejandra curadoria  texto
Ban, Ana texto",,"Artistas da tapeçaria moderna : Genaro de Carvalho, Jacques Douchez, Jean Gillom / Galeria Passado Composto Século XX ; [curadoria e texto] Alejandra Muñoz ; [tradução] Ana Ban","São Paulo : Passado Composto Século XX, 2012.",163 p. : il. color. ; 22 cm,"Catálogo publicado em decorrência da exposição realizada na Galeria Passado Composto Século XX, na cidade de São Paulo no período de 19 de setembro a 27 de novembro de 2012.
Texto em português e inglês.","Carvalho, Genaro de artista
Tapeçaria (obra visual) Brasil -- Século 21
Douchez, Jacques artista
Artistas da tapeçaria moderna São Paulo 2012
Bordado (obra visual) Brasil -- Século 21
Gillon, Jean artista
Arte contemporânea (período) Brasil -- Século 21",,,,ISBN : 9788565946001,"Artists of modern tapestry  Genaro de Carvalho, Jacques Douchez, Jean Gillom",,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,Something else yearbook,"Barton : Something Else Press, 1974.",235 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,7(81) T772  2010 Coleção Bibliográfica,,Coletivo Baobá Voador,"Araujo, Lúcio de texto  ilustração
Coletivo Baobá Voador
Spaniol, Lauro texto
Dassoler, Elisa Rodrigues texto
Prando, Felipe texto
Appel, Janice Martins Sitya texto
Polak, Ana Helena ilustração
Souza, Peetssa texto
Souza, Mauro texto
Aguirras ilustração
Ocoy, Aldeia Tekoha texto
Soares, Glerm texto
Ferreira, Moacir texto
Thomaz, Didonet texto
Leites, Hélio texto
Blanco, Sara texto
Goto texto
Wells, Tati texto
Rodrigues, Ruiter texto
Chamorro, Amancio texto
Bianchet, Gustavo texto
Miranda, Maria Rosa texto
Aguillera, Pedro texto
Ortíz, Eligio texto
Vivacqua, Flavia texto
Kinceler, José Luiz texto
Nhemboatevy, Julinho texto
Washington, Claudia texto","Trânsito à margem do lago : caderno de viagem / Claúdia Washington, Lúcio de Araujo","Curitiba : Ed. do Autor, 2010.",173 p. : il. p&b ; 23 cm,"Texto em português, guarani e espanhol.","Cultura -- Brasil -- Paraguai -- Século 21
Questão social -- Brasil -- Paraguai -- Século 21
Arte contemporânea (período) -- Brasil -- Paraguai -- Século 21",,,,ISBN : 9788591071906,"Jehasá ypá Rembe'y rupi kuatiahai guataha 
tránsito al margen del lago cuaderno de viaje",,,,,,,,,,,,,,,,,,,,,,,,,
664,,,,,Ingá : oficina de gravura : oficina de escultura,"Rio de Janeiro : Museu de Arte Brasileira, 198-?.",6 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,,"Eliseu, Visconti",,,Eliseu Visconti : arte e design,"Rio de Janeiro : Hólus Consultores Associados, 2007.",79 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,7.01(44) P832  1999 Coleção Bibliográfica,,"Mendonça, Marcos texto 
Ribenboim, Ricardo texto
Bousso, Daniela texto
Chiarelli, Tadeu texto
Milliet, Maria Alice texto
Farias, Agnaldo texto
Ribeiro, Maria Izabel Branco texto
Herkenhoff, Paulo texto
Favaretto, Celso texto
Barros, Stella Teixeira de texto
Lagnado, Lisette texto
Moraes, Angélica de texto",,Por que Duchamp? : leituras duchampianas por artistas e críticos brasileiros / [texto] Marcos Mendonça ... [et al.].,"São Paulo : Paço das Artes, Itaú Cultural, 1999.",191 p. : il. color. ; 24 cm,,"Crítica de arte -- França -- Século 20
Teoria da arte -- França -- Século 20
Arte contemporânea (período) -- França -- Século 20",,,,ISBN : 8585291141,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,,,,"Providências : relatos, fotos e memórias sobre o Morro da Providência","Rio de Janeiro : Dulcinéia Catadora, 2012.",40 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,,,,,"Processos em imagens : travessias, imagens do povo, solos culturais","Rio de Janeiro : Museu de Arte Contemporânea de Niterói, 2013.",8 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,"INDIVIDUAL AMÉRICO, Waléria A512c  2008 Coleção Bibliográfica","Américo, Waléria",Centro Cultural Banco do Nordeste Fortaleza,"Anjos, Moacir dos curadoria 
Centro Cultural Banco do Nordeste Fortaleza",Contínuo transitório / Waléria Américo ; [curadoria] Moacir dos Anjos,"Fortaleza : Centro Cultural Banco do Nordeste, 2008.",44 p. : il. color. ; 18 cm,"Catálogo publicado em decorrência da exposição Contínuo transitório realizada no Centro Cultural Banco do Nordeste, na cidade de Fortaleza no período de 3 de junho a 20 de julho de 2008.
Texto em português e inglês.","Contínuo transitório
Arte (belas artes) Brasil -- Século 21
Videoarte Brasil -- Século 21
Fotografia Século 21
Arte contemporânea (período) Brasil -- Século 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,,"Fernandes, Manoel",,,Manuel Fernandes : pinturas e desenhos,"Rio de Janeiro : Museu Nacional de Belas Artes, 2002.",ca. 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,,,,,Carybé ilustrador,"Rio de Janeiro : SESC, 20-?.",ca. 20 f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,,,,,João Grijó : pinturas,"São Paulo : José Duarte de Aguiar & Ricardo Camargo, 1988.",8 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,COLETIVO Instituto Cultural Brasil Argentina da Embaixada da República Argentina I59r  1990 Coleção Bibliográfica,Instituto Cultural Brasil Argentina da Embaixada da República Argentina Rio de Janeiro,"Alcalá, May Lorenzo texto 
Cocchiarale, Fernando texto
Costa, Marcus de Lontra texto",,"Rio - Córdoba : homenagem à Antonio Seguí / [texto] May Lorenzo Alcalá, Marcus de Lontra Costa, Fernando Cocchiarale","Rio de Janeiro : Instituto Cultural Brasil Argentina, 1990.",4 lâminas : il. color. ; 22 cm,"Catálogo publicado em decorrência da exposição realizada na Galeria do Instituto Cultural Brasil-Argentina, na cidade do Rio de Janeiro no período de 30 de novembro a 21 de dezembro de 1990.
Material acondicionado em pasta.","Seguí, Antonio artista
Pintura (obra visual) Argentina -- Século 20
Arte contemporânea (período) Argentina -- Século 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,726(81) O48b  2008 Coleção Bibliográfica,"Oliveira, Myriam Andrade Ribeiro de","Justiniano, Fátima co-autor 
Galvão, Maíra Mendes tradução",,"Barroco e rococó nas igrejas do Rio de Janeiro / Myriam Andrade Ribeiro de Oliveira, Fátima Justiniano ; [tradução] Maíra Mendes Galvão","Brasília : IPHAN/Programa Monumenta, 2008.",3 v. : il. color. ; 22 cm,Texto em português e inglês.,"Arquitetura religiosa -- Brasil -- Século 21
Rio de Janeiro
Igreja (edifício) -- Brasil -- Século 21
Arte barroca (período) -- Brasil -- Século 21",,,(Roteiros do patrimônio ; 2),ISBN : 9788573340839,Baroque and rococo in the churches of Rio de Janeiro,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,100 anos de artes plásticas no Instituto de Artes da UFRGS : três ensaios,"Porto Alegre : Ed. Da UFRGS, 2012.",263 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,,,,,Transfigurações : o Rio no olhar contemporâneo,"Rio de Janeiro : Centro Cultural Light, 2001.",48 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,COLETIVO Serviço Social do Comércio. SESC S491m  200? Coleção Bibliográfica,Serviço Social do Comércio. SESC Rio de Janeiro,"Canongia, Ligia curadoria",,Modernismo / [curadoria Ligia Canongia],"Rio de Janeiro : SESC, 200?.",44 p. : il. color. ; 23 cm,"Catálogo publicado em decorrência da exposição Modernismo realizada no SESC Rio, na cidade do Rio de Janeiro.
Inclui referências bibliográficas.","Amaral, Tarsila do artista
Modernismo
Pintura (obra visual) Brasil -- Século 20
Malfatti, Anita artista
Escultura (trabalho visual) Brasil -- Século 20
Nery, Ismael artista
Xilogravura (gravura) Brasil -- Século 20
Segall, Lasar artista
Arte moderna (período) Brasil -- Século 20
Portinari, Cândido artista
Carvalho, Flávio de artista
Brecheret, Victor artista
Monteiro, Vicente do Rego artista
Cavalcanti, Emiliano Di artista
Dias, Cícero artista
Goeldi, Oswaldo artista",,,"(Arte Brasil, um giro em nossa história)",,,,,,,,,,,,,,,,,,,,,,,,,,,
184,94(815.1) I59m  2008 Coleção Bibliográfica,Instituto do Patrimônio Histórico e Artístico Nacional - Iphan,"Queiroz, Maria da Graça Soto Coordenação",,Mariana : Minas Gerais,"Brasília : IPHAN, 2008.",63 p. : il. color. ; 27 cm,,"História -- Minas Gerais -- Século 20
Mariana / MG
Fotografia -- Brasil -- Século 20",,,(Imagens),,,,,,,,,,,,,,,,,,,,,,,,,,,
276,7+100 D556s  2009 Coleção Bibliográfica,"Didi-Huberman, Georges",,,"Ser crânio : lugar, contato, pensamento, escultura / Georges Didi-Huberman","Belo Horizonte : C/ Arte, 2009.",87 p. : il. p&b ; 18 cm,,"Filosofia -- Brasil -- Século 21
História da arte -- Brasil -- Século 21",,,,ISBN : 9788576540892,,,,,,,,,,,,,,,,,,,,,,,,,,
603,,,,,FILE Rio 2009 : Festival internacional de linguagem eletrônica,"Rio de Janeiro : FILE, 2009.",130 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,"Smith, Annarrê",,,Annarrê Smith,"São Paulo : s. n., 199-?.",6 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,7(81)-048.53 C691j  2011 Coleção Bibliográfica,,Centro Cultural Banco do Nordeste Fortaleza,Fortaleza,Jogos eletrônicos : conhecimento e oportunidades / organização e seleção de textos Daniel Gularte,"Fortaleza : Banco do Nordeste, 2011.",121 p. : il. p&b ; 18 cm,,"Videogame -- Brasil -- Século 21
Difusão cultural -- Brasil -- Século 21
Cultura -- Brasil -- Século 21
Arte contemporânea (período) -- Brasil -- Século 21","Gularte, Daniel organização  texto
Centro Cultural Banco do Nordeste Fortaleza Fortaleza
Amoreira, Paulo texto
Lima, Luiz texto
Lima, Emir texto
Paiva, Onofre texto
Santiago, Luiz texto
Sérgio, Milton texto
Dias, Rafel texto
Bóh, Lucimar texto
Almeida, Augusto texto
Sampaio, Italo texto",,(Coleção diálogos emergentes ; 03),ISBN : 9788577911523,,,,,,,,,,,,,,,,,,,,,,,,,,
487,"INDIVIDUAL ALMEIDA, Márcio A447c  2012 Coleção Bibliográfica","Almeida, Márcio",Santander Cultural,Recife,Contra_uso / Márcio Almeida ; [curadoria e texto] Marcelo Campos ; [tradução] Tatiana Antunes,"Recife : Santander Cultural, 2012.",46 p. : il. color. ; 20 cm,"Catálogo publicado em decorrência da exposição realizada no Santander Cultural, na cidade de Recife no período de 11 de janeiro a 26 de fevereiro de 2012. Conteúdo incompleto : Contem biografia do artista e do curador.
Texto em português e inglês.","Contra_uso Recife 2012
Fotografia Brasil -- Século 21
Desenho (obra visual) Brasil -- Século 21
Instalação (trabalho visual) Brasil -- Século 21
Pintura (obra visual) Brasil -- Século 21
Videoarte Brasil -- Século 21
Arte contemporânea (período) Brasil -- Século 21","Campos, Marcelo curadoria  texto
Santander Cultural Recife
Antunes, Tatiana tradução",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,,,,,Caixa de folia,"Rio de Janeiro : Museu da república, 1998.",8 lam.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,7(81) N111  2011 Coleção Bibliográfica,,,,"Na borda : nove coletivos, uma cidade / Bijari ... [et al.]","São Paulo : Invisíveis Produções, 2011.",ca. 180 : il. color. ; 23 cm,,"Bijari Grupo Artístico
Arte conceitual São Paulo
Cobaia Grupo Artístico
Arte pública São Paulo
Contrafilé Grupo Artístico
Experiência Imersiva Ambiental - EIA Grupo Artístico
Esqueleto Coletivo Grupo Artístico
Frente 3 de Fevereiro Grupo Artístico
Nova Pasta Grupo Artístico
Ocupeacidade Grupo Artístico
Projeto Matilha Grupo Artístico",,,(Coletivos),ISBN : 9788566129007,,,,,,,,,,,,,,,,,,,,,,,,,,
